Code;Description;Detailed English Description;Detailed French Description
ND.52;CYTOMETRIE, COMPTAGE ET TRI CELLULAIRE : MAINTENANCE - REPARATION;Maintenance of flow cytometers, cell sorters, and counters.;Entretien des cytomètres, trieurs cellulaires et compteurs automatiques.
ND.53;AUTRES EQUIPEMENTS DE BIOLOGIE CELLULAIRE : MAINTENANCE - REPARATION;Repair of additional cell biology tools (e.g., patch clamp rigs).;Réparation d’équipements divers pour biologie cellulaire.
ND.54;EQUIPEMENTS DE GENIE CHIMIQUE : REPARATION ET MAINTENANCE;Servicing of reactors and process systems used in chemical engineering.;Maintenance des équipements de génie chimique : réacteurs, lignes de procédé.
ND.55;AUTRE MATERIEL SPECIFIQ. DE CHIMIE ET PHYSICO-CHIMIE : MAINTENANCE, REPARATION;Repair and calibration of specialized equipment in chemistry and physico-chemistry.;Révision et étalonnage de matériel spécifique en chimie ou physico-chimie.
NE;CHIMIE ET BIOLOGIE : SERVICES;External or outsourced services for molecular, chemical, or biological analyses.;Services externes d’analyses ou de prestations en chimie et biologie.
NE.0;BIOLOGIE : SERVICES D'ANALYSE GENETIQUE;Genetic analysis services such as sequencing and genotyping.;Prestations d’analyse génétique : séquençage, génotypage, etc.
NE.01;BIOLOGIE : SERVICES DE SEQUENCAGE BAS DEBIT ET SERVICES CONNEXES;Low-throughput sequencing services for targeted or small-scale projects.;Séquençage bas débit et services associés pour petits volumes ou gènes ciblés.
NE.02;BIOLOGIE : SERVICES DE SEQUENCAGE HAUT DEBIT ET SERVICES CONNEXES;High-throughput (NGS) sequencing services for whole-genome or transcriptome studies.;Prestations de séquençage à haut débit (NGS), incluant transcriptomique, exome, etc.
NE.03;BIOLOGIE : SERVICES DE GENOTYPAGE ET SERVICES CONNEXES;DNA profiling and genotyping services for SNP or marker analysis.;Services de génotypage (SNP, STR, marqueurs génétiques) et analyses associées.
NE.04;BIOLOGIE : AUTRES SERVICES D'ANALYSE GENETIQUE;Other genetic services including mutation screening or methylation analysis.;Autres prestations en génétique : criblage de mutations, épigénétique, etc.
NE.1;BIOLOGIE CELLULAIRE : SERVICES SPECIALISES;Specialized services in cell biology such as cell culture, imaging, or manipulation.;Prestations spécialisées en biologie cellulaire : culture, manipulation, imagerie.
NE.11;BIOLOGIE CELLULAIRE : SERVICES DE CYTOMETRIE EN FLUX ET DE TRI CELLULAIRE;Flow cytometry and cell sorting services performed by core facilities or providers.;Services de cytométrie en flux et tri cellulaire externalisés.
NE.12;BIOLOGIE CELLULAIRE : AUTRES SERVICES;Other services like primary cell isolation, transfection, or viability assays.;Autres prestations en biologie cellulaire : isolement, transfection, tests de viabilité.
NE.2;CHIMIE ET BIOLOGIE : AUTRES SERVICES (HORS ANALYSES EN MICROSCOPIE ET SPECTROMETRIE);Analytical and process services excluding imaging and spectrometry.;Autres prestations analytiques en chimie/biologie hors microscopie et spectroscopie.
NE.21;BIOLOGIE ET CHIMIE : SERVICES D'ANALYSES PAR CHROMATOGRAPHIE (HPLC…);Outsourced chromatography analysis services (HPLC, GC, UPLC).;Services d’analyses chromatographiques : HPLC, CPG, UPLC.
NE.22;BIOLOGIE : AUTRES SERVICES D'ANALYSES BIOLOGIQUES ET BIOCHIMIQUES;Biochemical or functional assays provided externally.;Analyses biochimiques ou biologiques : ELISA, activité enzymatique, etc.
NE.23;CHIMIE : AUTRES SERVICES D'ANALYSE CHIMIQUE;Chemical analysis services including titration, composition, or trace analysis.;Prestations d’analyse chimique : titrages, éléments traces, pureté, etc.
NE.24;GENIE CHIMIQUE : SERVICES D'ETUDES DE PROCEDES;Process design and optimization services for chemical engineering.;Prestations d’étude ou d’optimisation de procédés en génie chimique.
NE.25;CHIMIE ET BIOLOGIE : AUTRES SERVICES;Miscellaneous services in chemistry and biology not classified elsewhere.;Autres prestations diverses en chimie et biologie non catégorisées.
O;OPTO - LASERS - MATERIEL D'OPTIQUE;Optics, lasers, and related scientific components and systems.;Optique, lasers et équipements scientifiques associés.
OA;OPTO : COMPOSANTS OPTIQUES - LASERS ET MATERIEL DE METROLOGIE OPTIQUE;Optical components, lasers, and tools for optical measurement.;Composants optiques, lasers et instruments de métrologie optique.
OA.0;OPTO : COMPOSANTS OPTIQUES;Passive optical components used in optical systems and experiments.;Composants optiques passifs pour systèmes ou bancs optiques.
OA.01;OPTO : LENTILLES ET SYSTEMES DE LENTILLES;Lenses and lens systems for focusing, collimating, or beam shaping.;Lentilles et systèmes de lentilles pour focalisation ou collimation.
OA.02;OPTO : MIROIRS;Flat or curved mirrors for beam redirection or focusing.;Miroirs plans ou courbes pour redirection ou focalisation du faisceau.
OA.03;OPTO : RESEAUX (DIFFRACTION, COMPRESSION,…);Diffraction or pulse-compression gratings for spectral analysis or ultrafast lasers.;Réseaux de diffraction ou de compression pour analyse spectrale ou impulsions femtoseconde.
OA.04;OPTO : LAMES, FENETRES ET CRISTAUX OPTIQUES;Optical plates, windows, or nonlinear crystals for beam control and conversion.;Lames, fenêtres et cristaux optiques pour transmission ou conversion de faisceaux.
OA.05;OPTO : FILTRES OPTIQUES, POLARISATEURS, CUBES ET PRISMES;Filters, polarizers, cubes, and prisms for beam shaping or wavelength selection.;Filtres, polariseurs, prismes et cubes pour séparation spectrale ou polarisation.
OA.06;OPTO : FIBRES OPTIQUES;Optical fibers for light transmission, coupling, or sensing.;Fibres optiques pour guidage de la lumière ou capteurs optiques.
OA.07;OPTO : AUTRES COMPOSANTS OPTIQUES PASSIFS;Other passive optical elements not classified elsewhere.;Autres composants optiques passifs : isolateurs, diaphragmes, etc.
OA.08;OPTO : MASQUES ET MATERIEL CORONOGRAPHIQUE;Masks and coronagraph tools for optical beam shaping or astronomical use.;Masques optiques et dispositifs coronographiques pour applications en optique ou astronomie.
OA.1;OPTO : CAMERAS, DETECTEURS ET AUTRES COMPOSANTS D'OPTIQUE ACTIFS;Active optical devices including cameras and detectors.;Éléments optiques actifs : caméras, détecteurs, capteurs.
OA.11;OPTO : CAMERAS UV-VISIBLE;UV-visible cameras for optical diagnostics or imaging.;Caméras UV-visible pour acquisition d’images ou mesures optiques.
OA.12;OPTO : CAMERAS INFRA-ROUGE;Infrared (IR) cameras for thermal imaging or IR beam analysis.;Caméras infrarouges pour imagerie thermique ou détection IR.
OA.13;OPTO : CAMERAS A RAYONS X;X-ray cameras for high-energy imaging or material characterization.;Caméras à rayons X pour imagerie haute énergie ou caractérisation de matériaux.
OA.14;OPTO : OPTIQUE POUR CAMERAS;Lenses and optics tailored for use with cameras and sensors.;Objectifs et optiques associés aux caméras ou capteurs.
OA.15;OPTO : DETECTEURS ET AUTRE MATERIEL D'OPTOELECTRONIQUE (HORS CAMERAS);Photodetectors and optoelectronic modules excluding cameras.;Détecteurs et composants optoélectroniques hors caméras : photodiodes, PMT, etc.
OA.2;OPTO : MATERIEL DE MICROPOSITIONNEMENT ET D'OPTOMECANIQUE;Micropositioning and opto-mechanical components for aligning optical systems.;Composants de micropositionnement et mécano-optique pour bancs optiques.
OA.21;OPTO : MICROPOSITIONNEMENT ET OPTOMECANIQUE;Stages, mounts, and actuators for precise optical alignment.;Micromanipulateurs, platines, supports pour alignement optique précis.
OA.22;OPTO : BANCS, TABLES OPTIQUES, ET ACCESSOIRES;Optical tables, rails, and breadboards for experimental setups.;Tables, bancs optiques et accessoires pour montage de dispositifs optiques.
OA.3;OPTOELECTRONIQUE : EMETTEURS (LASERS, LAMPES FLASH…);Light sources including lasers and pulsed/continuous lamps.;Sources lumineuses : lasers, lampes flash, LEDs, etc.
OA.31;OPTO : LASERS A GAZ;Gas lasers like He-Ne or CO₂ for continuous or pulsed emission.;Lasers à gaz (HeNe, CO₂) pour applications continues ou pulsées.
OA.32;OPTO : LASERS A SOLIDE;Solid-state lasers (Nd:YAG, Ti:sapphire) for various wavelengths.;Lasers solides : Nd:YAG, Ti:saphir, etc.
OA.33;OPTO : LASERS A SEMI-CONDUCTEURS (DIODES LASERS);Semiconductor laser diodes for compact and tunable emission.;Lasers à diodes pour applications compactes ou spectroscopie.
OA.34;OPTO : LASERS A VAPEUR METALLIQUE;Metal vapor lasers (e.g., copper, gold) for niche applications.;Lasers à vapeur métallique (cuivre, or) pour applications spécifiques.
OA.35;OPTO : LASERS A FIBRE;Fiber lasers with high beam quality and tunable output.;Lasers à fibre : compacts, puissants, souvent pour usinage ou télécom.
OA.36;OPTO : LASERS A COLORANTS ORGANIQUES (DYE LASERS);Tunable dye lasers using organic solvents and dyes.;Lasers à colorants organiques à large plage de réglage spectrale.
OA.37;OPTO : AUTRES TYPES DE LASERS (CHIMIQUES,…);Other laser types including chemical or exotic sources.;Autres lasers (ex. chimiques, excimères, expérimentaux).
OA.38;OPTO : LAMPES ET AUTRES SOURCES LUMINEUSES (LAMPES FLASH OU CONTINUE...);Non-laser light sources like xenon flash lamps or LEDs.;Lampes flash, continue ou LED pour illumination optique ou pompage laser.
OA.39;OPTO : ACCESSOIRES ET CONSOMMABLES (COLORANTS,…) POUR LASERS;Laser-related consumables: dyes, gas refills, optics, beam dumps.;Consommables pour lasers : colorants, gaz, optiques, capteurs, etc.
OA.4;OPTO : OUTILLAGE ET INSTRUMENTS OPTIQUES;Tools and instruments for measuring or aligning optical systems.;Outillage et instruments de mesure ou d’alignement en optique.
OA.41;OPTO : OUTILLAGE POUR L'OPTIQUE;Precision tools for optical assembly or maintenance.;Outillage pour montage ou maintenance de composants optiques.
OA.42;OPTO : INSTRUMENTS DE METROLOGIE DES FAISCEAUX LASERS;Beam analyzers and profilers for laser characterization.;Analyseurs de faisceaux laser : profil, divergence, puissance.
OA.43;OPTO : PYROMETRES OPTIQUES;Non-contact optical pyrometers for temperature measurement.;Pyromètres optiques pour mesure de température sans contact.
OA.44;OPTO : AUTRES INSTRUMENTS DE METROLOGIE OPTIQUE (REFLECTOMETRES,…);Miscellaneous optical metrology tools like reflectometers, interferometers.;Autres instruments de métrologie optique : réflectomètres, interféromètres, etc.
OA.45;OPTO : TELESCOPES, LUNETTES ASTRONOMIQUES, JUMELLES ET ACCESSOIRES;Astronomical and terrestrial viewing instruments and their accessories.;Lunettes, télescopes, jumelles et accessoires pour observation.
OA.5;OPTO : SYSTEMES OPTIQUES ET OPTO-ELECTRONIQUES;Complete optical or optoelectronic systems.;Systèmes complets optiques ou optoélectroniques.
OA.51;SYSTEMES OPTIQUES OU OPTO ELECTRONIQUES COMPLEXES;Advanced integrated optical systems for research or industrial use.;Systèmes optiques/optoélectroniques complexes : bancs laser, capteurs intégrés, etc.
OB;OPTO : REPARATION - VERIFICATION - MAINTENANCE;Maintenance and servicing of optical and photonic equipment.;Maintenance, vérification et réparation de matériel optique et photonique.
OB.1;OPTO : REPARATION ET MAINTENANCE DES EQUIPEMENTS D'OPTIQUE;General maintenance for optical systems including alignment and cleaning.;Entretien général d’équipements optiques : alignement, nettoyage, réglages.
OB.11;OPTO : REPARATION VERIFICATION MAINTENANCE DES LASERS;Servicing and calibration of laser sources (diodes, gas, fiber, etc.);Réparation et maintenance de sources laser : diodes, CO₂, Nd:YAG, fibre, etc.
OB.12;OPTO : REPARATION VERIFICATION MAINTENANCE DES CAMERAS;Maintenance of optical cameras including IR, UV, and scientific CCDs.;Maintenance et vérification de caméras optiques : CCD, infrarouge, UV.
OB.13;OPTO : REPARATION VERIFICATION MAINTENANCE DES AUTRES EQUIPEMENTS D'OPTIQUE;Repair and diagnostics for other optical instruments (tables, sensors, etc.);Réparation et étalonnage des autres instruments optiques : tables, capteurs, bancs.
OC;OPTO : SERVICES SPECIALISES;Specialized optical services including machining, coating, and metrology.;Services spécialisés en optique : usinage, traitement, contrôle, conception.
OC.0;OPTO : SERVICES SPECIALISES;Tailored optical services for R&D, production, or maintenance support.;Prestations techniques en optique pour recherche, fabrication ou support.
OC.01;OPTO : SERVICES D'USINAGE DES COMPOSANTS OPTIQUES (POLISSAGE,...);Machining and polishing of custom optical components (e.g., lenses, prisms).;Usinage, polissage ou fabrication de composants optiques sur mesure.
OC.02;OPTO : SERVICES DE TRAITEMENT DE SURFACE DES COMPOSANTS OPTIQUES;Surface treatments such as anti-reflection, dielectric, or metallic coatings.;Traitements de surface optique : couches antireflets, métalliques, diélectriques.
OC.03;OPTO : SERVICES DE CONTROLE DES COMPOSANTS OPTIQUES;Optical component testing: flatness, transmission, wavefront, etc.;Contrôle de qualité optique : planéité, transmission, qualité de front d’onde.
OC.04;OPTO : SERVICES D'ETUDES ET CONCEPTION EN OPTIQUE;Design and simulation services for custom optical setups or components.;Études et conception optique : lentilles, trajets optiques, simulations.
OC.05;OPTO : SERVICES DE TESTS EN OPTIQUE;Experimental validation and performance tests for optical systems.;Tests de performance et validation expérimentale de systèmes optiques.
P;PHYSIQUE - PHYSIQUE NUCLEAIRE ET CORPUSCULAIRE;Nuclear and particle physics equipment and technologies.;Matériel et technologies pour la physique nucléaire et des particules.
PA;RAYONNEMENTS NUCLEAIRES ET CORPUSCULAIRES;Equipment related to radiation, particle generation, and measurement.;Matériel associé aux rayonnements, à la production et à la mesure de particules.
PA.0;RADIOACTIVITE : SOURCES ET MESURES;Radioactive sources and radiation detection instruments.;Sources radioactives et instruments de mesure des rayonnements.
PA.01;RADIOACTIVITE : SOURCES RADIOACTIVES;Encapsulated or open radioactive sources for calibration or experiments.;Sources radioactives scellées ou non, pour étalonnage ou expériences.
PA.02;RADIOACTIVITE : INSTRUMENTS DE MESURE (HORS DETECTION EN BIOLOGIE);Instruments for measuring radiation levels (e.g., Geiger counters, dosimeters).;Appareils de mesure des rayonnements : compteurs Geiger, dosimètres, chambres d’ionisation.
PA.1;PRODUCTION DE PARTICULES : EQUIPEMENTS ET ACCESSOIRES;Devices used to generate charged particles for experiments.;Appareils de production de particules chargées pour expériences en physique.
PA.11;PRODUCTION DE PARTICULES : CANONS A ELECTRONS ET CANONS A IONS;Electron and ion guns used for particle injection or bombardment.;Canons à électrons et à ions pour faisceaux ou irradiation ciblée.
PA.12;PRODUCTION DE PARTICULES : ACCESSOIRES ET PIECES DETACHEES DE CANONS;Spare parts and accessories for particle sources (e.g., filaments, apertures).;Accessoires et pièces détachées pour canons à particules : filaments, électrodes, diaphragmes.
PA.2;ACCELERATION ET CONVERGENCE DES PARTICULES : EQUIPEMENTS ET ACCESSOIRES;Equipment for accelerating and directing particle beams.;Matériel pour accélération et focalisation de faisceaux de particules.
PA.21;MATERIEL POUR L'ACCELERATION DES PARTICULES;Particle accelerators or subsystems (e.g., RF cavities, magnets).;Matériel pour accélérateurs de particules : cavités RF, aimants, etc.
PA.22;MATERIEL POUR LA CONVERGENCE DES FAISCEAUX DE PARTICULES;Beam focusing and steering systems (e.g., quadrupoles, collimators).;Systèmes pour la convergence des faisceaux : quadripôles, collimateurs, lentilles magnétiques.
PA.23;MATERIEL DE MESURES DE L'ACCELERATION DES PARTICULES;Instruments to monitor energy, velocity, or trajectory of accelerated particles.;Instruments de mesure pour faisceaux accélérés : spectromètres, moniteurs d’énergie ou de trajectoire.
PB;PHYSIQUE : AUTRES MATERIELS DE MESURES PHYSIQUES ET INDUSTRIELS;Scientific and industrial instruments for physical measurements and material characterization.;Instruments scientifiques et industriels de mesure physique et de caractérisation des matériaux.
PB.0;PHYSIQUE : APPAREILS DE CARACTERISATION DES MATERIAUX ET DES PARTICULES;Devices for analyzing materials and solid particles (thermal, mechanical, surface).;Appareils de caractérisation thermique, mécanique ou surfacique des matériaux et particules.
PB.01;INSTRUMENTS DE CALORIMETRIE, ANALYSE THERMIQUE ET THERMOMECANIQUE;Calorimeters and analyzers for thermal transitions and heat capacity (DSC, TGA).;Calorimètres, analyse thermique différentielle, TGA, analyse thermomécanique.
PB.02;INSTRUMENTS DE METROLOGIE MECANIQUE DU SOLIDE (RHEOLOGIE,…) ET ACCESSOIRES;Mechanical testing devices like rheometers and viscometers for solids or pastes.;Appareils de rhéologie, viscosimètres, testeurs de traction ou compression.
PB.03;INSTRUMENTS DE CARACTERISATION MECANIQUE DES SURFACES ET ACCESSOIRES;Devices for surface hardness, adhesion, and mechanical profiling.;Appareils pour mesurer dureté, rugosité ou adhérence des surfaces.
PB.04;GRANULOMETRES LASERS ET ACCESSOIRES;Laser diffraction systems to determine particle size distributions.;Granulomètres laser pour mesure de distribution granulométrique.
PB.05;ZETAMETRES ET ACCESSOIRES;Zeta potential analyzers to assess particle surface charge and stability.;Zétamètres pour mesurer le potentiel zêta et la stabilité colloïdale.
PB.06;AUTRES APPAREILS D'ANALYSE DES PARTICULES SOLIDES ET ACCESSOIRES;Other solid particle analysis tools like sedimentation analyzers or classifiers.;Autres instruments d’analyse particulaire : sédimentation, classification.
PB.07;AUTRES INSTRUMENTS POUR LA CARACTERISATION DES SOLIDES  ET ACCESSOIRES;Miscellaneous solid-state analysis devices (e.g., porosimetry, BET).;Autres instruments de caractérisation des solides : porosimètres, BET, etc.
PB.1;PHYSIQUE : APPAREILS DE MESURES PHYSIQUES COURANTES;Standard physical measurement tools (pressure, temperature, flow, etc.).;Instruments de mesure physique de base : pression, température, débit, etc.
PB.11;APPAREILS DE MESURE / CAPTEURS DE PRESSION;Pressure gauges and sensors for gases or liquids.;Capteurs et manomètres pour mesure de pression dans les fluides.
PB.12;APPAREILS DE MESURE / CAPTEURS DE TEMPERATURE (HORS CRYOGENIE);Temperature sensors and thermometers for ambient and high temperatures.;Capteurs de température et thermomètres hors domaine cryogénique.
PB.13;APPAREILS DE MESURE / CAPTEURS DE VITESSE / DEBIT;Flow meters and velocity sensors for fluids (liquid/gas).;Capteurs de débit ou de vitesse d’écoulement : liquides, gaz.
PB.2;PHYSIQUE : SYSTEMES ET INSTRUMENTATION MAGNETIQUE;Magnetic systems and instrumentation including cryo and superconducting setups.;Systèmes et instruments magnétiques : aimants, capteurs, cryomagnétisme.
PB.21;SYSTEMES MAGNETIQUES (AIMANTS PERMANENTS,…);Permanent magnets and magnet assemblies for scientific use.;Aimants permanents, électroaimants et structures magnétiques.
PB.22;INSTRUMENTATION MAGNETIQUE;Measurement instruments for magnetic fields and magnetic properties.;Appareils de mesure de champs magnétiques : teslamètres, magnétomètres, etc.
PB.23;SYSTEMES CRYOMAGNETIQUES (HORS RMN);Cryogenic magnet systems used outside NMR applications.;Systèmes cryomagnétiques hors RMN : aimants supraconducteurs refroidis.
PB.24;SYSTEMES DE MESURES CRYOGENIQUES;Measurement systems for low-temperature physics experiments.;Systèmes de mesure pour expériences en cryogénie : sondes, capteurs cryo.
PB.25;MATERIAUX SUPRACONDUCTEURS;Superconducting materials for magnets or quantum applications.;Matériaux supraconducteurs : câbles, rubans, films minces, etc.
PB.3;MESURES PHYSIQUES : AUTRES APPAREILS DE MESURES PHYSIQUES SPECIFIQUES;Specialized instruments for niche or complex physical measurements.;Appareils spécifiques pour mesures physiques particulières.
PB.31;SYSTEMES DE MESURE A SONDE DE LANGMUIR;Langmuir probe systems for plasma diagnostics and electron density measurements.;Sondes de Langmuir pour caractérisation des plasmas et densité électronique.
PB.32;BALANCES SPECIFIQUES (BALANCES D'ADSORPTION,…);Specialized balances for gas adsorption or gravimetric analysis.;Balances spécifiques : adsorption de gaz, thermobalances.
PB.33;APPAREILS DE MESURE DE LA CHARGE ELECTRIQUE (ELECTROMETRES,…);Electrometers and charge sensors for very low current/charge measurements.;Électromètres et capteurs pour mesures de charge ou courant ultra-faible.
PB.34;APPAREILS DE MESURES ACOUSTIQUES;Devices for acoustic and vibrational analysis (e.g., microphones, sonometers).;Appareils de mesure acoustique : sonomètres, accéléromètres, microphones.
PB.35;APPAREILS DE MESURES PHYSIQUES MULTIPLES;Multi-parameter instruments combining physical sensors.;Appareils multifonctions mesurant plusieurs grandeurs physiques simultanément.
PB.36;APPAREILS POUR AUTRES MESURES PHYSIQUES;Miscellaneous instruments for physical measurement not listed elsewhere.;Autres appareils de mesure physique non classés dans les catégories précédentes.
PB.4;PHYSIQUE : AUTRES APPAREILS SPECIAUX;Specialized apparatus for physical or physico-chemical experiments.;Appareils spéciaux pour expériences physiques ou physico-chimiques.
PB.41;PHYSICO-CHIMIE : FOURS SPECIAUX HORS TECHNIQUES SOUS VIDE;Specialized furnaces for high-temperature processes (excluding vacuum systems).;Fours spéciaux hors vide pour traitements thermiques spécifiques.
PB.42;MATERIEL DE CRISTALLOGENESE;Equipment for growing single crystals (e.g., Bridgman or Czochralski methods).;Matériel pour cristallogenèse : étuves, creusets, systèmes de croissance dirigée.
PB.43;TREMPE SUR ROUE (MELT SPINNER);Melt spinner systems for rapid solidification of metallic alloys.;Systèmes de trempe sur roue pour solidification rapide des alliages métalliques.
PB.44;PHYSIQUE : AUTRES APPAREILS SPECIAUX;Other unique or custom-built instruments for physical research.;Autres appareils spéciaux ou expérimentaux en physique.
PB.5;PHYSIQUE : MATERIELS INDUSTRIELS;Industrial-grade equipment for physical or thermal applications.;Matériel à usage industriel en physique : compresseurs, fours, etc.
PB.51;GROUPES FRIGORIFIQUES;Refrigeration units for temperature-controlled experiments or systems.;Groupes frigorifiques pour contrôle thermique de systèmes expérimentaux.
PC;PHYSIQUE NUCLEAIRE ET CORPUSCULAIRE ET AUTRES MESURES PHYSIQUES : REPARATION ET MAINTENANCE DES EQUIPEMENTS;Maintenance and repair of instruments in nuclear, particle, and general physics.;Maintenance et réparation des équipements en physique nucléaire, corpusculaire et mesures physiques.
PC.0;PHYSIQUE NUCLEAIRE ET CORPUSCULAIRE : REPARATION ET MAINTENANCE DES EQUIPEMENTS;Servicing of devices for nuclear radiation and particle beam experiments.;Maintenance des appareils liés aux rayonnements et faisceaux de particules.
PC.01;REPARATION ET MAINTENANCE DES EQUIPEMENTS DE MESURE DE LA RADIOACTIVITE;Repair and calibration of radioactivity detectors (e.g., Geiger counters, dosimeters).;Réparation et vérification des détecteurs de radioactivité : compteurs Geiger, dosimètres, etc.
PC.02;PRODUCTION ET ACCELERATION DES PARTICULES : REPARATION ET MAINTENANCE;Maintenance of particle sources and acceleration systems (e.g., ion guns, RF cavities).;Entretien des canons à particules et équipements d'accélération (cavités RF, électroaimants).
PC.1;PHYSIQUE : REPARATION ET MAINTENANCE DES APPAREILS DE CARACTERISATION DES MATERIAUX;Support for instruments analyzing materials (thermal, mechanical, surface).;Maintenance des appareils de caractérisation des matériaux (calorimétrie, granulométrie…).
PC.11;REPARATION ET MAINTENANCE DES APPAREILS DE CARACTERISATION DES MATERIAUX;Maintenance of particle and material characterization tools.;Entretien et dépannage des instruments de caractérisation thermique, mécanique ou surfacique.
PC.2;PHYSIQUE : REPARATION ET MAINTENANCE DES AUTRES APPAREILS POUR LA PHYSIQUE;General servicing of physical measurement instruments.;Maintenance des autres instruments utilisés pour la mesure ou l’expérimentation physique.
PC.21;REPARATION ET MAINTENANCE DES APPAREILS DE MESURES PHYSIQUES COURANTS;Repair of standard physical sensors (temperature, pressure, flow).;Entretien des capteurs physiques courants : température, pression, débit.
PC.22;REPARATION ET MAINTENANCE DES AUTRES APPAREILS DE MESURES PHYSIQUES;Servicing of less common or specialized physics instruments.;Maintenance d’instruments de mesure physique spécifiques ou complexes.
PC.23;PHYSIQUE : REPARATION ET MAINTENANCE DES AUTRES APPAREILS SPECIAUX;Maintenance of specialized equipment for advanced or custom physics experiments.;Réparation de dispositifs expérimentaux ou spéciaux en physique.
PC.3;PHYSIQUE : MAINTENANCE DES MATERIELS INDUSTRIELS;Servicing of industrial-grade physics equipment (e.g., cryo units, chillers).;Maintenance des matériels industriels utilisés en physique.
PC.31;MAINTENANCE DES GROUPES FRIGORIFIQUES;Maintenance of refrigeration systems for labs or cryogenic experiments.;Entretien des groupes frigorifiques utilisés pour refroidissement d’équipements scientifiques.
PD;PHYSIQUE NUCLEAIRE ET CORPUSCULAIRE ET AUTRES MESURES PHYSIQUES : SERVICES SPECIFIQUES (HORS MICROSCOPIE ET SPECTROMETRIE);Specialized services in physics and nuclear research excluding microscopy/spectrometry.;Prestations spécialisées en physique nucléaire et mesures physiques (hors microscopie et spectrométrie).
PD.0;PHYSIQUE NUCLEAIRE ET CORPUSCULAIRE : SERVICES;External services for nuclear or particle physics analysis and support.;Services externes en physique nucléaire ou corpusculaire.
PD.01;MESURE DE LA RADIOACTIVITE : SERVICES DE DATATION (AU CARBONE 14…);Radiocarbon dating and related isotope measurement services.;Prestations de datation par le carbone 14 ou autres isotopes radioactifs.
PD.02;PHYSIQUE NUCLEAIRE ET CORPUSCULAIRE : AUTRES SERVICES;Other services in nuclear/particle physics, e.g. irradiation or shielding studies.;Autres services spécialisés : irradiation, dosimétrie, calculs de blindage, etc.
PD.1;PHYSIQUE : AUTRES SERVICES;Custom physics-related analysis or testing services.;Autres prestations techniques en physique (hors imagerie ou spectroscopie).
PD.11;MESURES PHYSIQUES : SERVICES DE CARACTERISATION DES MATERIAUX;Material characterization services (thermal analysis, mechanical testing).;Services de caractérisation physique des matériaux : calorimétrie, rhéologie, dureté, etc.
Q;EXPERIMENTATION VEGETALE;Plant science research materials for cultivation, protection, and analysis.;Matériel et produits pour la recherche en expérimentation végétale.
QA;EXPERIMENTATION VEGETALE : VEGETAUX ET PRODUITS POUR LEUR CULTURE ET CONSERVATION;Plants, seeds, substrates, and treatments for plant cultivation and conservation.;Plantes, semences, substrats et produits pour culture et conservation végétale.
QA.0;EXPERIMENTATION VEGETALE : VEGETAUX, CHAMPIGNONS ET SEMENCES;Living plant and fungal material for experimental use.;Matériel végétal vivant ou fongique pour expérimentation.
QA.01;EXPERIMENTATION VEGETALE : PLANTES ET PLANTS;Whole plants, seedlings, or in vitro-grown specimens for research.;Plantes entières, jeunes plants ou cultures in vitro pour études expérimentales.
QA.02;EXPERIMENTATION VEGETALE : SEMENCES ET TUBERCULES;Seeds and tubers used for propagation and genetic studies.;Semences et tubercules pour semis ou recherches sur la génétique végétale.
QA.03;EXPERIMENTATION VEGETALE : CHAMPIGNONS;Fungi or fungal cultures for plant pathology or symbiosis research.;Champignons ou mycéliums pour études phytopathologiques ou mycorhiziennes.
QA.04;EXPERIMENTATION VEGETALE : VEGETAUX MARINS;Marine plants and algae for aquaculture or environmental studies.;Végétaux marins : algues, phanérogames marines pour recherche ou culture.
QA.05;EXPERIMENTATION VEGETALE : AUTRES VEGETAUX;Other plant material not classified elsewhere (e.g., mosses, lichens).;Autres végétaux pour expérimentation : mousses, lichens, plantes rares.
QA.1;EXPERIMENTATION VEGETALE : PRODUITS POUR LA CULTURE ET LA CROISSANCE DES VEGETAUX;Inputs for plant growth such as soil, fertilizer, and supplements.;Produits pour favoriser la croissance végétale : substrats, engrais, compléments.
QA.11;SUBSTRATS DE CULTURE D'ORIGINE NATURELLE OU ARTIFICIELLE;Growth substrates like peat, coco coir, rock wool, or hydroponic media.;Substrats naturels ou synthétiques pour culture de plantes en pot ou en hydroponie.
QA.12;FERTILISANTS POUR VEGETAUX TYPE ENGRAIS;General-use plant fertilizers to improve growth and yield.;Engrais classiques (organiques ou minéraux) pour fertilisation végétale.
QA.13;NUTRIMENTS ADDITIONNELS POUR VEGETAUX ET FERTILISANTS DES SOLS;Soil conditioners and nutrient additives like trace elements or biostimulants.;Amendements et nutriments spécifiques pour sols ou croissance végétale.
QA.2;EXPERIMENTATION VEGETALE : PRODUITS POUR LA PROTECTION ET LA CONSERVATION DES VEGETAUX;Pesticides and other treatments to protect plants during experiments.;Produits pour protéger les plantes contre parasites, maladies ou stress environnementaux.
QA.21;PRODUITS PHYTOSANITAIRES CONTRE LES PATHOGENES VEGETAUX ET PLANTES CONCURRENTES;Herbicides and bactericides for plant disease and weed control.;Produits contre adventices et agents pathogènes végétaux (herbicides, bactéricides).
QA.22;PRODUITS PHYTOSANITAIRES CONTRE LES PATHOGENES CRYPTOGAMIQUES;Fungicides for combating fungal diseases in plants.;Produits fongicides pour lutte contre les maladies cryptogamiques.
